,ISIN,COMPANY_CODE,SECTOR_CODE,REPORTING_YEAR,N_SDG1,N_SDG2,N_SDG3,N_SDG4,N_SDG5,N_SDG6,N_SDG7,N_SDG8,N_SDG9,N_SDG10,N_SDG11,N_SDG12,N_SDG13,N_SDG14,N_SDG15,N_SDG16,N_SDG17,Market Value
0,GB0031638363,INTERT00001,CONS,2022,0,0,-990000,0,0,-410000,0,0,0,0,-240000,-240000,-8800000,-160000,-84000,0,0,"$8,109.37 "
7,INE192A01025,TATACO00002,FOMA,2022,0,0,-360000,0,0,-150000,0,-1200000,-580000,0,-86000,-83000,-1700000,-57000,-33000,0,0,"$5,320.77 "
14,CH0130293662,BKWAGX00001,GENE,2022,0,0,-56000000,0,0,-16000000,0,0,0,0,-55000000,-19000000,-4300000,-1100000,-5100000,0,0,"$3,260.87 "
21,US29786A1060,ETSYIN00001,WHRE,2022,0,0,-160000,0,0,-60000,0,-460000000,-230000000,0,-38000,-37000,-120000,-26000,-12000,0,0,"$12,607.60 "
28,US90384S3031,ULTABE00001,WASH,2022,0,0,-3200000,0,0,-660000,0,0,0,0,-320000,-480000,-12000000,-570000,-160000,0,0,"$26,690.91 "
35,GB0007980591,BPXXXX00001,OGES,2022,0,0,-120000000,0,0,-18000000,0,-940000000,-470000000,0,-58000000,-26000000,-1600000000,-13000000,-5600000,0,0,"$115,794.05 "
42,GB0031348658,BARCLA00001,FINS,2022,0,0,-280000,0,0,-120000,0,-10000000000,-3400000000,0,-69000,-64000,-6100000,-42000,-28000,0,0,"$28,162.20 "
49,FR0000130577,PUBLIC00003,CONS,2022,0,0,-2800000,0,0,-1100000,0,0,0,0,-670000,-670000,-3800000,-460000,-230000,0,0,"$18,442.61 "
56,GB00BWFGQN14,SPIRAX00001,FMMA,2022,0,0,-620000,0,0,-150000,0,0,0,0,-87000,-110000,-2000000,-110000,-31000,0,0,"$10,581.94 "
63,FR0000121220,SODEXO00001,FOOD,2022,0,0,-6800000,0,0,-2600000,0,0,0,0,-1900000,-1700000,-8200000,-1100000,-540000,0,0,"$8,755.77 "
70,GB0004544929,IMPERI00001,OTHE,2022,0,0,-13000000,0,0,-5400000,0,0,0,0,-3300000,-3300000,-17000000,-2200000,-1100000,0,0,"$19,757.86 "
77,US38141G1040,GOLDMA00001,FINS,2022,0,0,-72000,0,0,-60000,0,-5800000000,-1900000000,0,-1400,-1700,-8200000,-2200,-20000,0,0,"$112,432.33 "
84,US8725901040,TMOBIL00001,ITIS,2022,0,0,-8900000,0,0,-3700000,0,0,0,0,-2200000,-2200000,-150000000,-1500000,-750000,0,0,"$77,836.64 "
91,FI0009014575,METSOO00001,FMMA,2022,0,0,-650000,0,0,-170000,0,0,0,0,-88000,-110000,-6700000,-110000,-37000,0,0,"$8,127.77 "
98,US8330341012,SNAPON00001,TRAN,2022,0,0,-1500000,0,0,-560000,0,0,0,0,-320000,-340000,-5600000,-250000,-120000,0,0,"$12,507.23 "
105,US8334451098,SNOWFL00001,ITIS,2022,0,0,-41000,0,0,-19000,0,-460000000,-230000000,0,-11000,-9600,-1800000,-6100,-4200,0,0,"$39,620.61 "
109,GB0007908733,SSEXXX00001,GENE,2022,0,0,-22000000,0,0,-17000000,0,0,0,0,-6300000,-2200000,-300000000,-170000,-5800000,0,0,"$24,300.26 "
116,JP3283460008,KOEITE00001,ITIS,2022,0,0,-22000,0,0,-9800,0,-30000000,-15000000,0,-5600,-5100,-950000,-3200,-2200,0,0,"$2,001.33 "
123,FI0009014377,ORIONC00001,PILL,2022,0,0,-55000,0,0,-5100,0,0,0,0,-850,-5300,-1200000,-9900,-1700,0,0,"$5,039.33 "
130,INE121J01017,INDUST00011,ITIS,2022,0,0,-1700000,0,0,-590000,0,0,0,0,-790000,-490000,-330000000,-230000,-120000,0,0,"$1,190.43 "
137,NO0010063308,TELENO00001,ITIS,2022,0,0,-340000,0,0,-150000,0,0,0,0,-90000,-81000,-41000000,-51000,-35000,0,0,"$7,759.85 "
144,INE066A01021,EICHER00001,TRAN,2022,0,0,-87000,0,0,-53000,0,-20000000,-10000000,0,-2500,-4200,-3100000,-6700,-18000,0,0,"$5,159.52 "
151,US7223041028,PINDUO00001,ITIS,2022,0,0,-660000,0,0,-300000,0,0,0,0,-170000,-150000,-28000000,-96000,-69000,0,0,"$84,483.60 "
158,JP3233250004,JAPANP00004,FINS,2022,0,0,-85000,0,0,-33000,0,0,0,0,-28000,-23000,-780000,-13000,-6600,0,0,"$3,033.56 "
165,IL0011301780,WIXCOM00001,ITIS,2022,0,0,-48000,0,0,-22000,0,-310000000,-160000000,0,-12000,-11000,-2000000,-7000,-5000,0,0,"$5,108.04 "
172,US46625H1005,JPMORG00001,FINS,2022,0,0,-3500000,0,0,-1500000,0,-50000000000,-17000000000,0,-850000,-850000,-44000000,-560000,-320000,0,0,"$404,364.73 "
179,IE00B4BNMY34,ACCENT00001,CONS,2022,0,0,-13000000,0,0,-5200000,0,0,0,0,-3100000,-3100000,-15000000,-2100000,-1000000,0,0,"$184,527.79 "
186,NO0005052605,NORSKH00001,AAMA,2022,0,0,-150000000,0,0,-6500000,0,0,0,0,-18000000,-21000000,-470000000,-28000000,-1600000,0,0,"$10,294.12 "
193,SE0016828511,EMBRAC00001,ITIS,2022,0,0,-67000,0,0,-30000,0,-340000000,-170000000,0,-18000,-16000,-300000,-10000,-6700,0,0,"$3,087.72 "
200,JP3198900007,ORIENT00001,RECR,2022,0,0,-2800000,0,0,-740000,0,0,0,0,-490000,-550000,-6400000,-500000,-150000,0,0,"$34,642.27 "
207,US6795801009,OLDDOM00001,ROAL,2022,0,0,-190000,0,0,0,0,-1300000,-660000,0,-1600000,-93000,-65000000,0,0,0,0,"$32,040.46 "
214,JP3475350009,DAIICH00001,PILL,2022,0,0,-11000000,0,0,-2900000,0,0,0,0,-5200000,-3000000,-15000000,-1400000,-610000,0,0,"$59,254.68 "
221,ES0144580Y14,IBERDR00001,GENE,2022,0,0,-120000000,0,0,-92000000,0,0,0,0,-30000000,-11000000,-670000000,-1400000,-30000000,0,0,"$79,640.58 "
228,JP3358800005,SHIMIZ00001,BLDG,2022,0,0,-1100000,0,0,-31000,0,0,0,0,-1100000,-390000,-10000000,-74000,-9700,0,0,"$2,925.20 "
235,JP3218900003,CAPCOM00001,ITIS,2022,0,0,-31000,0,0,-13000,0,0,0,0,-8500,-7700,-840000,-4900,-2900,0,0,"$5,903.11 "
242,NL00150001Q9,FIATCH00001,TRAN,2022,0,0,-32000000,0,0,-4200000,0,-32000000,-16000000,0,-2900000,-4600000,-210000000,-5900000,-940000,0,0,"$44,857.74 "
249,LU1598757687,ARCELO00001,IRON,2022,0,0,-4000000000,0,0,-240000000,0,0,0,0,-3500000000,-1300000000,-6200000000,-300000000,-71000000,0,0,"$14,451.18 "
256,US84265V1052,SOUTHE00002,MOMI,2022,0,0,-72000000,0,0,-23000000,0,0,0,0,-29000000,-14000000,-250000000,-7000000,-7000000,0,0,"$6,863.02 "
